,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140901053500,19.1,84.1,0,0.45,1.93,164.1,16.7,0,154,13.9,13.9,13.9,1.8
20140901054000,19.2,83.6,0,0.52,1.49,165.3,16.2,0,155,13.9,13.9,13.9,1.8
20140901054500,19.2,83.1,0,0.84,2.68,163,11.5,0,136,13.9,13.9,13.9,1.9
20140901055000,19.3,83.3,0,0.31,1.34,171.2,0,0,131,13.9,13.9,13.9,1.9
20140901055500,19.3,83.1,0,0.3,1.34,177.9,14.7,0,94,13.9,13.9,13.9,1.9
20140901060000,19.2,83.2,0,0.59,2.38,230,57.2,0,79,13.9,13.9,13.9,1.9
20140901060500,19.2,83.4,0,0.38,1.93,300.3,54.7,0,70,13.4,13.6,13.9,1.9
20140901061000,19.2,83.2,0,0.53,2.53,193.2,30.1,0,69,13.8,13.9,13.9,1.9
20140901061500,19.2,83.1,0,0.49,1.63,231.5,54.7,0,61,13.6,13.8,13.9,1.9
20140901062000,19.3,83,0,0.42,1.49,187.6,6.8,0,58,13.6,13.6,13.6,1.9
20140901062500,19.3,83,0,0.45,1.63,185.6,10.5,0,55,13.5,13.5,13.6,1.9
20140901063000,19.3,83.1,0,0.34,1.19,231.7,1.8,0,37,13.4,13.5,13.5,1.9
20140901063500,19.2,83.1,0,0.33,1.79,209.1,27.8,0,35,13.4,13.4,13.4,1.9
20140901064000,19.2,83.3,0,0.34,1.93,184.3,13.8,0,39,13.4,13.4,13.4,1.9
20140901064500,19.2,83.4,0,0.24,1.93,201.1,25.4,0,28,13.3,13.3,13.4,1.9
20140901065000,19.2,83.4,0,0.51,2.08,228.2,28.4,0,25,13.3,13.3,13.3,1.9
20140901065500,19.1,84,0,0.6,2.24,181.4,17.3,0,21,13.3,13.3,13.3,1.8
20140901070000,19,84.9,0,0.35,1.49,179.2,8.8,0,10,13.2,13.3,13.3,1.7
20140901070500,18.9,85.7,0,0.43,1.93,167.5,0,0,5,13.1,13.2,13.3,1.6
20140901071000,18.9,86.4,0,0.39,2.38,133.3,40.1,0,7,13.2,13.2,13.2,1.5
20140901071500,18.9,87,0,0.26,0.89,182.4,0,0,7,13.2,13.2,13.2,1.4
20140901072000,18.6,87.3,0,0.86,2.08,259.4,44.5,0.2,3,13.2,13.2,13.2,1.4
20140901072500,18.4,87.5,0,0.63,1.63,253.3,17.5,0,1,13.2,13.2,13.2,1.4
20140901073000,18.4,87.7,0,0.62,1.49,256.5,29.5,0,1,13.2,13.2,13.2,1.3
20140901073500,18.4,88.2,0,0.27,1.04,251.2,0,0,1,13.2,13.2,13.2,1.3
