,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140916110000,18,81.4,0,1.18,3.73,338.5,58.8,0,275,13.9,13.9,13.9,2
20140916110500,18.2,81.1,0,1.1,3.13,61.4,61.4,0,438,13.8,13.9,13.9,2.1
20140916111000,18.6,79.7,0.29,1.22,3.87,93.8,65.3,0,471,13.8,13.8,13.9,2.3
20140916111500,18.7,78.4,0,1.11,2.38,46.7,63.8,0,520,13.8,13.8,13.8,2.4
20140916112000,19.2,76.8,0.14,1.11,2.68,29.1,85.5,0,508,13.8,13.8,13.8,2.6
20140916112500,19.1,76.3,0.44,1.84,5.07,1.7,51.8,0,547,13.8,13.8,13.8,2.7
20140916113000,19.3,76.2,0.14,1.62,3.28,9.1,55.6,0,564,13.8,13.8,13.8,2.7
20140916113500,19.6,74.9,0.14,1.44,3.28,26.2,76.1,0,511,13.8,13.8,13.8,2.9
20140916114000,19.8,73.9,0.14,1.15,2.83,51,63.2,0,356,13.8,13.8,13.8,3
20140916114500,19.8,73.6,0.29,1.52,3.73,3.3,58.5,0,390,13.8,13.8,13.8,3.1
20140916115000,19.9,73.4,0.29,1.22,3.13,318.4,89.2,0,326,13.8,13.8,13.8,3.1
20140916115500,19.9,73.1,0.14,1.11,2.38,80.3,52.4,0,325,13.8,13.8,13.8,3.1
20140916000000,20,72.8,0,0.88,2.68,332.5,40.6,0,352,13.8,13.8,13.8,3.2
20140916000500,20.2,71.9,0,1.08,4.92,20.6,51.7,0,343,13.8,13.8,13.8,3.3
20140916001000,20.3,71.2,0,1.2,3.43,31.2,41.9,0,352,13.8,13.8,13.8,3.4
20140916001500,20.2,71.8,0.14,1.42,3.58,359.6,42.4,0,338,13.8,13.8,13.8,3.3
20140916002000,20.2,71.6,0,0.99,2.83,51.5,95.5,0,328,13.8,13.8,13.8,3.4
20140916002500,20.3,71.3,0.14,1,2.38,46.9,72.3,0,287,13.8,13.8,13.8,3.4
20140916003000,20.4,70.7,0,1.08,2.24,356.8,70.2,0,280,13.8,13.8,13.8,3.5
20140916003500,20.5,69.9,0,1.09,4.17,91.6,65.5,0,321,13.8,13.8,13.8,3.6
20140916004000,20.5,70.2,0,0.83,2.24,6.5,47.5,0,325,13.8,13.8,13.8,3.6
20140916004500,20.7,69.2,0,1.15,2.68,10.7,69.8,0,351,13.8,13.8,13.8,3.7
20140916005000,20.7,69.2,0,0.93,2.98,81.5,74.6,0,409,13.8,13.8,13.8,3.7
20140916005500,21,68.3,0.14,1.28,2.98,359.5,67.8,0,436,13.8,13.8,13.8,3.8
20140916010000,21.1,67.3,0,1.2,2.68,2.2,56.4,0,414,13.8,13.8,13.8,4
20140916010500,21.2,66.8,0.14,1.28,4.03,84,62.4,0,427,13.8,13.8,13.8,4.1
20140916011000,21.5,65.8,0,1.09,3.87,97,62.3,0,473,13.8,13.8,13.8,4.2
20140916011500,22,63.7,0,0.73,3.43,323.7,20.1,0,436,13.8,13.8,13.8,4.6
20140916012000,22,59.6,0,1.53,3.73,118.3,20.9,0,549,13.8,13.8,13.8,5.1
20140916012500,22.1,59.1,0,1.36,3.28,71.7,57.8,0,474,13.8,13.8,13.8,5.2
20140916013000,22,59.4,0,0.76,2.24,338.4,57.1,0,566,13.8,13.8,13.8,5.2
20140916013500,22.3,58.5,0.14,1.15,3.28,41.5,59.9,0,665,13.8,13.8,13.8,5.3
20140916014000,22.3,57.7,0.14,1.47,4.92,72.2,70.8,0,679,13.8,13.8,13.8,5.5
20140916014500,22.1,57.6,0.29,1.7,4.92,27.7,54.7,0,619,13.8,13.8,13.8,5.4
20140916015000,22.2,54.8,0.14,1.41,2.83,352.3,57.4,0,517,13.8,13.8,13.8,5.9
20140916015500,22.4,54.6,0,0.86,3.58,41.9,48.3,0,361,13.8,13.8,13.8,5.9
20140916020000,22.5,54.1,0,1.04,2.24,356,67.4,0,411,13.8,13.8,13.8,6
20140916020500,22.3,52.8,0,1.33,3.43,92.1,63.8,0,429,13.8,13.8,13.8,6.2
20140916021000,22.5,52.5,0,1.54,4.92,106.1,54.6,0,662,13.8,13.8,13.8,6.2
20140916021500,22.6,53.1,0,1.31,4.17,68.2,84.3,0,393,13.8,13.8,13.8,6.2
20140916022000,22.5,51.5,0.14,1.46,3.87,45,73.5,0,606,13.8,13.8,13.8,6.4
20140916022500,22.7,49.8,0.14,1.24,2.98,11.4,76.1,0,618,13.8,13.8,13.8,6.7
20140916023000,22.9,49.4,0,1.14,2.38,343.9,83.6,0,592,13.7,13.8,13.8,6.8
20140916023500,22.9,49.6,0.14,1.15,3.13,46.8,88.6,0,580,13.7,13.7,13.8,6.7
20140916024000,22.9,49.2,0,1.84,5.22,134,61.7,0,585,13.7,13.7,13.7,6.8
20140916024500,22.9,49.9,0,1.84,4.62,92.7,51.9,0,387,13.7,13.7,13.7,6.7
20140916025000,22.7,50,0.14,1.43,3.28,71.3,81.8,0,414,13.7,13.7,13.7,6.6
20140916025500,22.9,50.3,0,1.57,4.62,120.7,64.7,0,533,13.7,13.7,13.8,6.6
20140916030000,22.9,49.9,0.29,1.74,3.73,102.4,46.7,0,532,13.7,13.7,13.7,6.7
20140916030500,23.1,49.3,0.29,1.65,5.22,102.7,62.2,0,506,13.7,13.7,13.7,6.8
20140916031000,23.4,48.2,0,0.81,2.24,334.1,74.4,0,495,13.7,13.7,13.7,7
20140916031500,23.2,47.6,0,1.55,3.73,17.3,40.6,0,472,13.7,13.7,13.7,7.1
20140916032000,23.1,47.8,0.14,1.43,3.58,8.3,56.1,0,462,13.7,13.7,13.7,7.1
20140916032500,23.2,47.2,0.14,1.21,3.58,357.2,67.8,0,461,13.7,13.7,13.7,7.2
20140916033000,23.1,46.2,0.14,1.52,4.03,64.7,68.7,0,432,13.7,13.7,13.7,7.3
20140916033500,23.2,46.7,0,1.26,3.28,49.9,84.1,0,464,13.7,13.7,13.7,7.2
20140916034000,23.3,46.2,0,1.4,3.87,127.1,66.5,0,434,13.7,13.7,13.7,7.3
20140916034500,23.3,45.9,0,1.71,4.77,124.5,37.9,0,419,13.7,13.7,13.7,7.4
20140916035000,23.2,46.7,0.29,1.44,3.28,142.7,69.9,0,417,13.7,13.7,13.7,7.2
20140916035500,23.2,46.6,0.29,1.27,3.73,345,56.9,0,414,13.7,13.7,13.7,7.3
20140916040000,23.3,44.8,0,1.25,3.13,353.3,61.2,0,403,13.7,13.7,13.7,7.6
20140916040500,23.3,45.5,0,1.12,3.73,96.1,28.4,0,389,13.7,13.7,13.7,7.4
20140916041000,23.4,44.2,0,0.93,4.03,107,72.5,0,373,13.7,13.7,13.7,7.7
20140916041500,23.4,44.6,0.14,1.26,3.43,9.7,82.9,0,357,13.7,13.7,13.7,7.6
20140916042000,23.3,45,0,1.46,4.48,112.9,45,0,343,13.7,13.7,13.7,7.5
20140916042500,23.2,45.3,0,1.13,3.73,63.2,76.5,0,333,13.7,13.7,13.7,7.5
20140916043000,23.3,45.2,0,0.82,2.24,156,73.5,0,320,13.7,13.7,13.7,7.5
20140916043500,23.4,44.1,0,1.13,3.13,345.6,76.7,0,318,13.7,13.7,13.7,7.7
20140916044000,23.2,44.6,0.59,2.64,5.67,112.7,43.6,0,308,13.7,13.7,13.7,7.6
20140916044500,23.2,44.8,0.14,1.32,3.28,33,60.8,0,293,13.7,13.7,13.7,7.5
20140916045000,23.2,43.7,0,1.59,5.22,62.9,78.5,0,281,13.7,13.7,13.7,7.7
20140916045500,23.3,44.3,0,0.92,3.13,135,43.1,0,269,13.7,13.7,13.7,7.6
20140916050000,23.3,44.5,0.14,1.07,3.13,130.5,59.1,0,257,13.7,13.7,13.7,7.6
20140916050500,23.1,44.2,0,1.19,3.28,58.4,75.2,0,246,13.7,13.7,13.7,7.6
20140916051000,23.1,45.4,0.14,1.3,4.17,105.5,47,0,229,13.7,13.7,13.7,7.4
20140916051500,23,48.6,0.14,1.16,3.13,88.4,77.6,0,213,13.7,13.7,13.8,6.9
20140916052000,22.8,49.8,0,1.38,4.03,354.5,42.4,0,198,13.7,13.8,13.8,6.7
20140916052500,22.7,49.4,0.14,1.36,3.13,29.8,54.8,0,188,13.7,13.8,13.8,6.7
20140916053000,22.7,50.1,0,1.14,2.83,65.3,57.7,0,173,13.8,13.8,13.8,6.6
20140916053500,22.7,50,0,1.29,3.43,50.7,53.6,0,172,13.8,13.8,13.8,6.6
20140916054000,22.7,50.7,0,0.64,1.79,39.6,69.3,0,159,13.8,13.8,13.8,6.5
20140916054500,22.8,51.5,0.14,1.29,3.28,43.8,70.4,0,148,13.8,13.8,13.8,6.4
20140916055000,22.5,52.5,0,1.19,3.28,76.3,67.7,0,135,13.8,13.8,13.8,6.2
20140916055500,22.4,52.4,0.14,1.42,3.87,107.9,49.1,0,125,13.8,13.8,13.8,6.2
20140916060000,22.3,52.9,0.14,1.25,2.98,77,50,0,117,13.8,13.8,13.8,6.1
20140916060500,22.2,53.9,0,1.01,2.83,51,43.1,0,106,13.4,13.7,13.8,6
20140916061000,22.1,54.7,0.14,1.03,3.58,59.3,52.6,0,64,13.8,13.8,13.8,5.9
20140916061500,21.9,55.8,0.74,2.24,4.48,116.3,34.5,0,45,13.6,13.7,13.8,5.7
20140916062000,21.7,56.6,0.29,2.29,5.52,116.4,44.5,0,42,13.5,13.6,13.6,5.5
20140916062500,21.6,56.9,0,1.25,4.17,167.2,64.3,0,37,13.5,13.5,13.5,5.5
20140916063000,21.5,57.7,0.29,1.71,3.58,111.1,51.5,0,34,13.4,13.4,13.5,5.3
20140916063500,21.4,59.8,0.44,1.87,4.17,120.5,24,0,30,13.4,13.4,13.4,5
20140916064000,21.3,61.4,0,1.36,4.03,131.7,36.9,0,26,13.3,13.4,13.4,4.8
20140916064500,21.3,62.5,0,1.07,2.83,110.9,45,0,21,13.3,13.3,13.3,4.7
20140916065000,21.2,63.4,0,0.96,3.87,82.4,76.8,0,16,13.3,13.3,13.3,4.5
20140916065500,21,64.4,0,1.35,3.73,17.9,47.9,0,12,13.3,13.3,13.3,4.4
20140916070000,20.9,65,0,0.91,3.73,34.4,54.2,0,7,13.3,13.3,13.3,4.3
20140916070500,20.9,65.7,0,0.88,2.53,138.4,68.6,0,5,13.2,13.2,13.3,4.2
20140916071000,20.8,66.3,0,0.59,1.93,130.6,80.1,0,2,13.2,13.2,13.3,4.1
20140916071500,20.7,66.9,0,0.76,2.38,148.4,66.3,0,1,13.2,13.2,13.2,4
20140916072000,20.6,67.6,0,1.08,3.43,98.4,31.5,0,1,13.2,13.2,13.2,3.9
20140916072500,20.4,68.5,0,0.85,2.38,118.6,36.5,0,1,13.2,13.2,13.2,3.8
20140916073000,20.3,69,0,0.79,2.24,113.1,66.9,0,1,13.2,13.2,13.2,3.7
20140916073500,20.2,69.5,0,0.61,2.53,76.8,51.7,0,1,13.2,13.2,13.2,3.6
20140916074000,20.2,70.1,0.14,0.96,3.43,44.2,59.1,0,1,13.2,13.2,13.2,3.5
20140916074500,20.1,70.6,0,0.71,3.87,11.7,63.4,0,1,13.2,13.2,13.2,3.5
20140916075000,20,71.3,0,0.36,1.49,266.6,97.1,0,1,13.2,13.2,13.2,3.4
20140916075500,20,71.7,0,0.57,2.08,346.4,41,0,1,13.2,13.2,13.2,3.3
20140916080000,19.9,72.3,0,0.98,2.38,42.3,57.6,0,1,13.2,13.2,13.2,3.2
20140916080500,19.8,71.8,0,0.82,2.68,69,57.7,0,1,13.1,13.2,13.2,3.3
20140916081000,19.8,70.9,0.14,1.02,2.53,72,88.2,0,1,13.2,13.2,13.2,3.4
20140916081500,19.8,70.2,0.14,0.95,2.53,91.3,47.6,0,1,13.2,13.2,13.2,3.5
20140916082000,19.8,70.4,0.29,1.35,2.83,50.3,51.6,0,1,13.2,13.2,13.2,3.5
20140916082500,19.7,70.5,0,1.22,4.03,37.2,76,0,1,13.2,13.2,13.2,3.4
20140916083000,19.7,70.7,0.14,1.26,3.73,340.3,58.8,0,1,13.2,13.2,13.2,3.4
20140916083500,19.6,72,0.14,1.56,3.28,32.8,55.9,0,1,13.2,13.2,13.2,3.2
20140916084000,19.4,73.3,0,1.08,2.98,55.3,77.9,0,1,13.2,13.2,13.2,3.1
20140916084500,19.2,74.4,0,0.91,2.83,55.2,73.6,0,1,13.2,13.2,13.2,2.9
20140916085000,19.2,75.2,0,0.52,1.79,154.7,66.9,0,1,13.2,13.2,13.2,2.8
20140916085500,19.1,75.8,0,0.93,2.68,102.8,70,0,1,13.2,13.2,13.2,2.7
20140916090000,19,76.6,0,0.65,3.58,130.9,40.7,0,1,13.2,13.2,13.2,2.6
20140916090500,18.9,77.7,0.14,0.98,2.68,109.7,39.7,0,1,13.1,13.2,13.2,2.5
20140916091000,18.7,79,0,1.01,2.38,76.2,62.5,0,1,13.2,13.2,13.2,2.3
20140916091500,18.7,80.3,0,0.8,2.38,77.1,29.2,0,1,13.2,13.2,13.2,2.2
20140916092000,18.6,81.1,0,0.83,3.58,65.5,46.3,0,1,13.2,13.2,13.2,2.1
20140916092500,18.4,81.8,0,0.95,2.98,87.3,65.3,0,1,13.2,13.2,13.2,2
20140916093000,18.1,83,0,1.27,3.73,42.6,63.9,0,1,13.2,13.2,13.2,1.9
20140916093500,17.8,84.5,0.29,1.2,3.28,72.6,72.8,0,1,13.2,13.2,13.2,1.7
20140916094000,17.7,85.3,0,0.81,2.38,278.8,82.6,0,1,13.2,13.2,13.2,1.6
20140916094500,17.7,85.5,0,0.59,1.79,117.3,60.4,0,1,13.2,13.2,13.2,1.6
20140916095000,17.7,85.4,0,0.41,1.79,157.1,9,0,1,13.2,13.2,13.2,1.6
20140916095500,17.7,85.3,0,0.37,1.79,141.6,38.6,0,1,13.2,13.2,13.2,1.6
20140916100000,17.6,85.6,0,0.35,1.49,6.8,51.9,0,1,13.2,13.2,13.2,1.5
20140916100500,17.6,85.8,0,0.57,1.79,49,37,0,1,13.1,13.1,13.2,1.5
20140916101000,17.6,86,0,0.8,3.13,345.2,38,0,1,13.1,13.2,13.2,1.5
20140916101500,17.7,85.7,0,0.92,2.24,337.2,61.1,0,1,13.1,13.2,13.2,1.5
20140916102000,17.6,85.4,0,1.42,3.87,355.7,62,0,1,13.1,13.2,13.2,1.6
20140916102500,17.5,85.3,0,0.9,3.73,37.5,66.3,0,1,13.1,13.2,13.2,1.6
20140916103000,17.5,85.2,0.14,1.33,4.62,73.2,63.6,0,1,13.1,13.2,13.2,1.6
20140916103500,17.5,85.2,0.14,1.33,3.87,68,70.2,0,1,13.1,13.2,13.2,1.6
20140916104000,17.5,85.1,0,1.09,3.13,42.3,71.1,0,1,13.2,13.2,13.2,1.6
20140916104500,17.5,84.9,0,1.35,3.13,10.4,77.8,0,1,13.2,13.2,13.2,1.6
20140916105000,17.5,84.8,0,0.93,2.24,9.4,51,0,1,13.1,13.2,13.2,1.6
20140916105500,17.6,84.7,0,0.98,2.98,105.9,48,0,1,13.2,13.2,13.2,1.6
20140916110000,17.6,84.5,0.14,0.87,2.38,56.9,66.4,0,1,13.1,13.2,13.2,1.7
20140916110500,17.6,84.4,0.29,1.36,4.17,21,67.6,0,1,13.1,13.1,13.2,1.7
20140916111000,17.6,84.3,0.14,1.23,3.43,54.7,72.1,0,1,13.1,13.2,13.2,1.7
20140916111500,17.6,83.9,0.29,1.32,3.73,22.8,50.3,0,1,13.1,13.2,13.2,1.7
20140916112000,17.6,83.7,0.14,1.1,2.98,344.3,60.5,0,1,13.1,13.2,13.2,1.8
20140916112500,17.6,83.5,0.14,1.38,5.37,354,60.9,0,1,13.1,13.1,13.2,1.8
20140916113000,17.6,83.2,0.14,1.02,2.83,19.9,63,0,1,13.1,13.1,13.2,1.8
20140916113500,17.7,83.1,0,0.61,3.13,3,35.4,0,1,13.2,13.2,13.2,1.8
20140916114000,17.7,83,0,0.96,2.24,61,61,0,1,13.2,13.2,13.2,1.8
20140916114500,17.7,82.9,0,0.96,3.73,71.6,77.6,0,1,13.2,13.2,13.2,1.8
20140916115000,17.8,82.9,0,0.69,2.24,62.8,55,0,1,13.1,13.1,13.1,1.8
20140916115500,17.8,82.8,0,0.84,2.08,32,71.7,0,1,13.1,13.1,13.1,1.9
20140917000000,17.8,82.6,0,0.69,2.53,11.9,45.1,0,1,13.1,13.1,13.1,1.9
20140917000500,17.9,82.2,0,0.57,2.24,2.4,56.1,0,1,13,13.1,13.1,1.9
20140917001000,17.9,81.7,0,0.5,1.79,16.9,48.6,0,1,13.1,13.1,13.1,2
20140917001500,17.9,81.5,0,0.79,2.38,72.6,69.4,0,1,13.1,13.1,13.1,2
20140917002000,17.8,81.5,0,1.25,4.17,61.4,56.5,0,1,13.1,13.1,13.1,2
20140917002500,17.7,81.4,0.29,1.57,3.58,78.5,58.2,0,1,13.1,13.1,13.1,2
20140917003000,17.7,81.2,0,1.38,3.13,68.4,37,0,1,13.1,13.1,13.1,2
20140917003500,17.7,81.1,0,1.13,3.13,47.7,50.9,0,1,13.1,13.1,13.1,2
20140917004000,17.7,81,0,0.54,2.38,76.5,51,0,1,13.1,13.1,13.1,2.1
20140917004500,17.7,80.8,0,1.2,4.17,16.7,82.2,0,1,13.1,13.1,13.1,2.1
20140917005000,17.7,80.4,0.14,0.92,2.24,94.2,53.8,0,1,13.1,13.1,13.1,2.1
20140917005500,17.7,80.2,0,0.81,2.68,86.8,44.4,0,1,13.1,13.1,13.1,2.1
20140917010000,17.7,80.1,0.29,1.35,3.43,103,47.5,0,1,13.1,13.1,13.1,2.2
20140917010500,17.8,80.6,0,0.72,2.08,67.4,35.2,0,1,13,13.1,13.1,2.1
20140917011000,17.8,80.7,0,1.02,2.53,55,68.4,0,1,13.1,13.1,13.1,2.1
20140917011500,17.7,81.1,0.29,1.49,2.83,358.4,47.9,0,1,13.1,13.1,13.1,2
20140917012000,17.7,81.3,0,1.02,2.98,340.4,34.8,0,1,13.1,13.1,13.1,2
20140917012500,17.7,81.3,0,0.92,2.38,349.9,46.7,0,1,13.1,13.1,13.1,2
20140917013000,17.7,81.1,0.14,0.95,2.98,14.8,46,0,1,13.1,13.1,13.1,2
20140917013500,17.6,81.1,0,0.8,2.38,38.8,80.6,0,1,13.1,13.1,13.1,2
20140917014000,17.6,81.2,0,0.84,2.68,94.5,40.9,0,1,13.1,13.1,13.1,2
20140917014500,17.6,81.2,0,1.17,2.98,26.7,76,0,1,13.1,13.1,13.1,2
20140917015000,17.6,80.8,0.14,1.54,3.73,54.4,61.5,0,1,13.1,13.1,13.1,2.1
20140917015500,17.5,80.9,0,1.22,3.58,19,56.5,0,1,13.1,13.1,13.1,2.1
20140917020000,17.5,81.1,0,0.83,3.43,14.6,54.8,0,1,13.1,13.1,13.1,2
20140917020500,17.5,81.8,0.14,1.02,3.73,325.4,27,0,1,13,13.1,13.1,2
20140917021000,17.4,82.6,0,1.16,3.43,357.7,41.1,0,1,13.1,13.1,13.1,1.9
20140917021500,17.3,82.8,0,1.34,4.17,335.2,25.2,0,1,13.1,13.1,13.1,1.8
20140917022000,17.2,82.8,0.59,1.85,4.17,351.8,28.9,0,1,13.1,13.1,13.1,1.8
20140917022500,17.2,82.7,0,0.84,2.08,35.6,52.2,0,1,13.1,13.1,13.1,1.8
20140917023000,17.2,82.7,0.14,1.17,2.68,356.6,38,0,1,13.1,13.1,13.1,1.8
20140917023500,17.2,82.8,0,0.85,2.53,345.1,28.2,0,1,13.1,13.1,13.1,1.8
20140917024000,17.2,82.7,0,0.75,2.53,348.1,40.3,0,1,13.1,13.1,13.1,1.8
20140917024500,17.1,82.8,0.14,1.57,4.48,2.3,57.6,0,1,13.1,13.1,13.1,1.8
20140917025000,17,83.2,0.14,1.43,3.28,349.1,46.7,0,1,13.1,13.1,13.1,1.8
20140917025500,16.9,83.3,0.29,1.56,3.58,348,41.7,0,1,13.1,13.1,13.1,1.8
20140917030000,16.8,83.6,0.14,1.25,3.87,359,36,0,1,13.1,13.1,13.1,1.7
20140917030500,16.8,83.4,0,1.23,4.17,3.9,46.5,0,1,13,13.1,13.1,1.7
20140917031000,16.8,83,0.14,1.21,2.98,345.9,31.9,0,1,13.1,13.1,13.1,1.8
20140917031500,16.8,82.7,0.14,1.29,2.98,342.4,47.6,0,1,13.1,13.1,13.1,1.8
20140917032000,16.8,82.5,0.14,1.24,2.98,346,56.8,0,1,13.1,13.1,13.1,1.8
20140917032500,16.9,82,0.29,1.16,2.68,330.8,60.9,0,1,13.1,13.1,13.1,1.9
20140917033000,16.9,82.1,0.14,1.36,2.98,346.9,35.8,0,1,13.1,13.1,13.1,1.9
20140917033500,16.9,82.4,0,1.34,3.43,345.1,31.8,0,1,13.1,13.1,13.1,1.9
20140917034000,16.8,82.5,0.29,1.4,3.28,343.4,30.4,0,1,13.1,13.1,13.1,1.8
20140917034500,16.8,82.3,0.29,1.58,3.73,345.5,28.2,0,1,13.1,13.1,13.1,1.9
20140917035000,16.8,82.6,0.44,1.42,3.43,342.4,33.1,0,1,13.1,13.1,13.1,1.8
20140917035500,16.8,82.6,0,1.04,2.38,19.9,60.4,0,1,13.1,13.1,13.1,1.8
20140917040000,16.8,82.2,0.14,1.28,2.98,341.4,32.7,0,1,13.1,13.1,13.1,1.9
20140917040500,16.8,82.4,0.44,1.69,3.43,348.3,23.7,0,1,13,13.1,13.1,1.9
20140917041000,16.8,82.3,0.14,1.31,3.58,10,61.3,0,1,13.1,13.1,13.1,1.9
20140917041500,16.8,82.3,0,1.13,2.98,347.8,34.1,0,1,13.1,13.1,13.1,1.9
20140917042000,16.7,82.4,0,1.49,3.43,349.4,36.6,0,1,13.1,13.1,13.1,1.8
20140917042500,16.7,82.6,0.44,1.58,3.43,342.8,34.7,0,1,13.1,13.1,13.1,1.8
20140917043000,16.7,82.6,0.14,1.02,2.53,349.4,37,0,1,13.1,13.1,13.1,1.8
20140917043500,16.7,82.4,0.29,1.38,3.13,28,77.9,0,1,13.1,13.1,13.1,1.8
20140917044000,16.6,82.5,0.14,1.53,4.17,350.2,50,0,1,13.1,13.1,13.1,1.8
20140917044500,16.6,83,0,1.24,4.32,344,35.9,0,1,13.1,13.1,13.1,1.8
20140917045000,16.6,83,0.14,1.42,3.43,341.2,37.7,0,1,13.1,13.1,13.1,1.8
20140917045500,16.5,83,0.14,1.87,3.73,350.2,40.8,0,1,13.1,13.1,13.1,1.8
20140917050000,16.5,83.1,0.29,1.53,3.13,359.7,38.1,0,1,13.1,13.1,13.1,1.8
20140917050500,16.5,82.9,0.29,1.18,3.13,340.7,32.6,0,1,12.9,13,13.1,1.8
20140917051000,16.5,82.8,0.14,1.03,2.38,351.3,47.9,0,1,13,13,13.1,1.8
20140917051500,16.5,82.6,0.14,0.84,2.38,4.5,56.8,0,1,13.1,13.1,13.1,1.8
20140917052000,16.5,82.3,0,0.98,2.38,4,36.8,0,1,13,13,13.1,1.8
20140917052500,16.5,82.3,0,1.71,5.07,331.1,42.1,0,1,13,13,13.1,1.8
20140917053000,16.5,82.3,0.14,1.26,2.98,16.4,78.1,0,1,13,13,13.1,1.8
20140917053500,16.5,82.5,0.14,1.05,2.68,354,27.9,0,1,13,13,13,1.8
20140917054000,16.5,82.7,0.14,1.37,4.32,339,54.8,0,1,13,13,13,1.8
20140917054500,16.5,82.7,0.29,1.28,2.68,4.5,45.1,0,1,13,13,13,1.8
20140917055000,16.5,82.4,0.14,0.81,2.24,351.2,49,0,1,13,13,13,1.8
20140917055500,16.5,82.1,0.14,1.22,2.98,47,60.8,0,1,13,13,13,1.9
20140917060000,16.5,81.9,0,1.02,2.83,21.3,54.1,0,1,13,13,13,1.9
20140917060500,16.6,81.7,0,0.74,2.24,349.6,32.4,0,1,12.9,13,13,1.9
20140917061000,16.6,81.5,0.14,1.19,3.13,356.2,65.8,0,1,13,13,13,1.9
20140917061500,16.6,81.6,0.14,1.19,3.13,345.5,50.7,0,1,13,13,13,1.9
20140917062000,16.5,82,0,1.13,2.83,348.9,42.9,0,1,13,13,13,1.9
20140917062500,16.5,82.3,0.14,1.07,2.24,347.3,48.8,0,1,13,13,13,1.8
20140917063000,16.5,82.3,0.14,0.89,1.93,27.7,41,0,1,13,13,13,1.8
20140917063500,16.6,81.9,0,0.82,2.68,354.8,83.9,0,1,13,13,13,1.9
20140917064000,16.5,81.6,0,0.6,1.79,6.9,64,0,1,13,13,13,1.9
20140917064500,16.5,81.5,0,0.73,2.53,26.4,76.8,0,2,13,13,13,1.9
20140917065000,16.5,81.7,0,0.87,3.28,63.6,19.5,0,2,13,13,13,1.9
20140917065500,16.5,81.8,0.14,1.08,2.98,355.3,30.9,0,3,13,13,13,1.9
20140917070000,16.6,81.7,0,0.57,2.38,67.9,74.2,0,5,13,13,13,1.9
20140917070500,16.6,81.5,0,0.48,1.49,29,55.3,0,6,12.8,13,13,1.9
20140917071000,16.6,81.5,0,1.05,2.98,51.8,79,0,7,13,13,13,1.9
20140917071500,16.5,82.1,0.29,1.21,2.83,335,57,0,9,13,13,13,1.9
20140917072000,16.5,82.2,0.14,1.13,2.98,336.2,58.1,0,12,12.9,13,13,1.9
20140917072500,16.5,82.1,0,0.95,2.38,14.4,33,0,13,13,13,13,1.9
20140917073000,16.5,81.8,0.14,0.96,2.83,10,49,0,13,13,13,13,1.9
20140917073500,16.5,81.7,0.14,1.09,2.68,330.9,46,0,13,13,13,13,1.9
20140917074000,16.3,82.2,0.14,1.93,4.32,345.6,29.5,0,17,13,13,13,1.8
20140917074500,16.3,82.7,0,1.41,3.87,342.9,20.1,0,20,13,13,13,1.8
20140917075000,16.3,82.8,0.14,1.48,3.28,328,41,0,20,13,13,13,1.8
20140917075500,16.3,83,0.14,1.7,3.73,324.5,40.5,0,23,13,13,13,1.8
20140917080000,16.3,83,0.14,1.31,3.58,339.3,39.8,0,25,13,13,13,1.8
20140917080500,16.3,82.9,0.14,1.09,2.83,349.7,34.5,0,26,12.8,13,13,1.8
20140917081000,16.3,82.9,0.29,1.65,4.32,350.5,32.9,0,31,13,13,13,1.8
20140917081500,16.3,82.9,0,1.2,2.38,352.5,42.7,0,36,13,13,13,1.8
20140917082000,16.3,82.9,0.14,1.46,3.28,0.3,48.9,0,40,13,13,13.1,1.8
20140917082500,16.3,82.9,0.14,1.2,3.43,359.9,39.8,0,37,13,13,13.1,1.8
20140917083000,16.3,82.7,0.29,1.71,3.58,336.3,25.1,0,47,13,13.1,13.1,1.8
20140917083500,16.3,83,0,1.21,2.98,326.5,20.4,0,51,13.1,13.1,13.1,1.8
20140917084000,16.4,82.7,0,1,3.43,49.7,66.8,0,51,13.1,13.1,13.1,1.8
20140917084500,16.4,82.7,0,1.87,4.48,350.5,36.2,0,45,13.1,13.1,13.1,1.8
20140917085000,16.2,83.3,0.29,1.6,3.43,339.4,31.5,0,44,13.1,13.1,13.1,1.7
20140917085500,16.3,83.4,0.14,1.07,4.32,331.8,29.3,0,48,13.1,13.1,13.1,1.7
20140917090000,16.3,83.3,0.14,1.76,3.87,338.8,20.4,0,54,13.1,13.1,13.1,1.7
20140917090500,16.3,83.4,0.14,1.47,4.48,333.3,28,0,40,13,13,13.1,1.7
20140917091000,16.2,83.7,0.14,1.37,3.28,346.9,26.5,0,40,13,13,13.1,1.7
20140917091500,16.2,83.7,0,1.81,3.58,347.3,25.8,0,52,13.1,13.1,13.1,1.7
20140917092000,16.2,83.9,0,1.32,3.58,350.3,51.8,0,57,13.1,13.1,13.1,1.7
20140917092500,16.2,84,0,1.01,3.58,343.9,27.5,0,48,13.1,13.1,13.1,1.7
20140917093000,16.3,83.7,0.14,1.53,3.73,346.1,37.2,0,50,13.1,13.1,13.1,1.7
