,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m²),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC),72
20140901105000,16.3,87.8,0,0.38,1.49,315.2,13.6,0,1,13.1,13.2,13.2,1.3,72
20140901105500,16.3,87.8,0,0.22,0.74,332.1,3.5,0,1,13.1,13.2,13.2,1.3,72
20140901110000,16.3,87.9,0,0.17,1.34,331.9,3.4,0,1,13.1,13.2,13.2,1.2,72
20140901110500,16.2,88.2,0,0.24,1.04,331.3,1.8,0,1,13,13.1,13.2,1.2,72
20140901111000,16.2,88.2,0,0.18,0.89,331.6,3.2,0,1,13.1,13.1,13.2,1.2,72
20140901111500,16.2,88.2,0,0.28,1.34,332.2,0.8,0,1,13.1,13.1,13.2,1.2,72
20140901112000,16.3,88,0,0.21,0.89,332.3,2.6,0,1,13.1,13.1,13.2,1.2,72
20140901112500,16.3,88,0,0.09,0.74,332.3,2.6,0,1,13.1,13.1,13.2,1.2,72
20140901113000,16.2,88,0,0.33,1.34,331.9,0,0,1,13.1,13.1,13.1,1.2,72
20140901113500,16.1,88.1,0,0.38,1.04,331.9,0,0,1,13.2,13.2,13.2,1.2,72
20140901114000,16.1,88.1,0,0.13,0.44,331.9,0,0,1,13.2,13.2,13.2,1.2,72
20140901114500,16,88,0,0.16,0.74,331.9,0,0,1,13.2,13.2,13.2,1.2,72
20140901115000,16,88,0,0.08,0.74,331.9,0,0,1,13.1,13.1,13.1,1.2,72
20140901115500,16,87.8,0,0.09,0.59,331.9,0,0,1,13.1,13.1,13.1,1.2,72
20140901120000,17.1,90.7,0,0.41,1.79,219.6,26.4,0,188,13.9,13.9,14,1,69
20140901120500,17.1,90.6,0,0.74,2.38,209.8,46.8,0,224,13.7,13.9,14,1,69
20140901121000,17.2,90.6,0,0.79,2.98,186.2,29.4,0,247,13.9,13.9,14,1,69
20140901121500,17.3,90.7,0,0.53,2.38,172,27.7,0,221,13.9,13.9,14,1,69
20140901122000,17.3,90.6,0,0.49,1.63,195.7,25.3,0,193,14,14,14,1,69
20140901122500,17.3,90.4,0,0.75,2.53,183.9,28,0.2,201,13.9,13.9,14,1,69
20140901123000,17.3,90.5,0,0.64,2.83,239,64.6,0,145,13.9,13.9,14,1,69
20140901123500,17.3,90.4,0,0.54,2.08,184.7,28.6,0,184,14,14,14,1,69
20140901124000,17.4,90.4,0,0.47,1.93,195.5,61.6,0,143,13.9,13.9,14,1,69
20140901124500,17.4,90.5,0,0.47,1.63,198.8,17.7,0,176,13.9,13.9,14,1,69
20140901125000,17.4,90.7,0,0.46,1.93,179.2,51.1,0,164,13.9,13.9,14,1,69
20140901125500,17.5,90.9,0,0.39,1.34,177.7,49.6,0,207,13.9,13.9,14,1,69
20140901130000,17.5,90.9,0,0.75,2.98,215.5,45,0,189,13.9,13.9,14,1,69
20140901130500,17.4,90.8,0,0.79,2.68,156.2,67.2,0,169,13.7,13.9,14,1,69
20140901131000,17.4,90.9,0,0.69,2.53,199.9,35.7,0,208,13.9,13.9,14,1,69
20140901131500,17.5,91,0,0.36,1.79,210.5,0,0,169,13.9,13.9,14,1,69
20140901132000,17.5,90.7,0,0.84,3.13,198.1,40.7,0,186,13.9,13.9,14,1,69
20140901132500,17.5,90.5,0,0.7,2.08,236.4,35.7,0,190,13.9,13.9,14,1,69
20140901133000,17.5,90,0,0.55,1.93,205,65.9,0,148,13.9,13.9,14,1.1,69
20140901133500,17.6,89.6,0,0.45,1.63,246,21.1,0,170,13.9,13.9,14,1.1,69
20140901134000,17.8,89,0,0.36,1.19,230.2,0,0,141,13.9,13.9,13.9,1.2,69
20140901134500,17.9,88.1,0,0.63,2.98,199.6,35.3,0,169,13.9,13.9,14,1.3,69
20140901135000,17.9,87.5,0,0.67,2.38,219.7,36.7,0,280,13.9,13.9,14,1.3,69
20140901135500,18.2,86.8,0,0.5,1.63,206.7,6.1,0,248,13.9,13.9,13.9,1.4,69
20140901140000,18.2,85.8,0,0.82,3.13,244.7,58,0,155,13.9,13.9,13.9,1.5,69
20140901140500,18.1,85.5,0,0.49,1.79,171.1,23.1,0,136,13.5,13.9,13.9,1.6,69
20140901141000,18.2,85.4,0,0.77,2.24,207.2,57.6,0,111,13.9,13.9,13.9,1.6,69
20140901141500,18.1,85.6,0,0.77,3.13,262.2,47.5,0,134,13.9,13.9,13.9,1.6,69
20140901142000,18.1,85.3,0.14,0.83,3.28,183.9,53.8,0,138,13.9,13.9,13.9,1.6,69
20140901142500,18.3,85.8,0,0.42,1.63,182.7,33.4,0.2,138,13.9,13.9,13.9,1.5,69
20140901143000,18.3,86.6,0,0.58,2.98,196.3,40.8,0,164,13.9,13.9,13.9,1.5,69
20140901143500,18.1,87.7,0,0.4,1.79,186.8,13.2,0,165,13.9,13.9,14,1.3,69
20140901144000,18.1,88.4,0,0.67,2.24,190.9,55.1,0,224,13.9,13.9,13.9,1.3,69
20140901144500,18.2,88.7,0,0.33,1.34,174.5,14.3,0,167,13.9,13.9,13.9,1.2,69
20140901145000,18.2,88.8,0,0.39,1.34,190.7,27,0,135,13.8,13.9,13.9,1.2,69
20140901145500,18.4,88.8,0,0.34,1.04,116.7,0,0,188,13.9,13.9,13.9,1.2,69
20140901150000,18.4,88.8,0,0.58,1.79,151.1,20.4,0,184,13.9,13.9,13.9,1.2,69
20140901150500,18.2,88.7,0,0.59,2.08,177.9,14.7,0,115,13.5,13.9,13.9,1.2,69
