UTC+8 20161111_04:34:17	1478853257302	 : upload.php/ 	 : File 14788532571. WeatherData_20140901-20140930_Example for database.CSV is checked to be a data table with CSV extention and be record in history. Prepare for update to database.
UTC+8 20161111_04:59:39	1478854779350	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:59:39	1478854779350	 : upload.php/ 	 : File 14788547792. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161111_04:59:39	1478854779350	 : upload.php/ 	 : File 14788547792. MeasureData_20140901-20140930_Part 1.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161111_04:59:55	1478854795128	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161111_04:59:55	1478854795128	 : upload.php/ 	 : File 14788547952. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161111_04:59:55	1478854795128	 : upload.php/ 	 : File 14788547952. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_04:58:13	1479373093256	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_04:58:13	1479373093331	 : upload.php/ 	 : File 14793730932. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_04:58:13	1479373093349	 : upload.php/ 	 : File 14793730932. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_05:04:48	1479373488706	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:04:48	1479373488706	 : upload.php/ 	 : File 14793734882. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:04:48	1479373488706	 : upload.php/ 	 : File 14793734882. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_05:07:26	1479373646123	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:07:26	1479373646123	 : upload.php/ 	 : File 14793736462. MeasureData_20140901-20140930_Part 2.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:07:26	1479373646123	 : upload.php/ 	 : File 14793736462. MeasureData_20140901-20140930_Part 2.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_05:10:37	1479373837394	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:10:37	1479373837394	 : upload.php/ 	 : File 14793738372. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:10:37	1479373837395	 : upload.php/ 	 : File 14793738372. MeasureData_20140901-20140930_Part 1.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
UTC+8 20161117_05:12:01	1479373921646	 : csv.php/handleCSV()	 : The File ./tmpData/4. Green Roof Property_Example for database.docxis not a CSV File
UTC+8 20161117_05:12:01	1479373921646	 : upload.php/ 	 : File 14793739212. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1611/
UTC+8 20161117_05:12:01	1479373921646	 : upload.php/ 	 : File 14793739212. MeasureData_20140901-20140930_Part 1.csv is checked to be a data table with csv extention and be record in history. Prepare for update to database.
